"YEAR","SAMPLE","PERNUM","SEX","AGE","RACE","RACED","EDUC","EDUCD","INCTOT","US2018A_SEX","US2018A_PINCP"
2018,201801,2,1,19,1,100,6,63,4800,"1","0004800"
2018,201801,1,1,56,2,200,4,40,9800,"1","0009800"
2018,201801,1,1,39,6,669,3,30,138000,"1","0138000"
2018,201801,2,2,37,6,669,6,65,14000,"2","0014000"
2018,201801,3,1,5,6,669,0,2,9999999,"1","BBBBBBB"
2018,201801,1,1,62,1,100,6,63,57000,"1","0057000"
2018,201801,2,2,47,1,100,11,116,106000,"2","0106000"
2018,201801,1,1,33,1,100,10,101,140220,"1","0140220"
2018,201801,2,2,29,1,100,10,101,85100,"2","0085100"
2018,201801,3,2,13,1,100,2,25,9999999,"2","BBBBBBB"
2018,201801,4,2,1,1,100,0,1,9999999,"2","BBBBBBB"
2018,201801,1,1,52,1,100,6,63,70000,"1","0070000"
2018,201801,2,2,59,1,100,6,63,38000,"2","0038000"
2018,201801,1,1,78,1,100,6,61,16500,"1","0016500"
2018,201801,1,1,35,2,200,6,64,48000,"1","0048000"
2018,201801,2,2,36,2,200,7,71,21900,"2","0021900"
2018,201801,3,2,13,2,200,2,26,9999999,"2","BBBBBBB"
2018,201801,4,2,13,2,200,2,25,9999999,"2","BBBBBBB"
2018,201801,5,2,11,2,200,2,22,9999999,"2","BBBBBBB"
2018,201801,6,2,8,2,200,1,15,9999999,"2","BBBBBBB"
2018,201801,1,2,26,2,200,6,63,8000,"2","0008000"
2018,201801,2,2,7,2,200,1,14,9999999,"2","BBBBBBB"
2018,201801,1,1,65,3,399,11,114,67500,"1","0067500"
2018,201801,2,2,65,1,100,7,71,24000,"2","0024000"
2018,201801,1,2,53,1,100,11,114,80000,"2","0080000"
2018,201801,2,1,60,1,100,6,65,85000,"1","0085000"
2018,201801,1,1,58,6,671,2,22,30000,"1","0030000"
2018,201801,2,2,47,6,671,4,40,12700,"2","0012700"
2018,201801,3,1,8,8,818,1,14,9999999,"1","BBBBBBB"
2018,201801,1,2,47,1,100,6,63,4300,"2","0004300"
2018,201801,2,1,47,1,100,7,71,4000,"1","0004000"
2018,201801,1,1,71,1,100,10,101,78200,"1","0078200"
